,source,target,metaphor,linguistic_metaphor,implicit_meaning,object,properties,relations,visual_elaboration
424,Forces,Emotions,1292,"His love was an electromagnetic field, attracting and repelling with equal intensity.",Love that alternates between intense attraction and rejection.,"Love, Electromagnetic field","Magnetic, Polarizing, Intense",Simultaneous attraction and repulsion,A heart-shaped magnet with visible magnetic fields pulling objects in while simultaneously pushing others away.
425,Tangle,Problem,925,The problem's snarls loosened under careful analysis.,A complex problem becoming simpler through methodical examination.,Tangled knots representing problems,"Snarled, tangled, loosening",Analysis acting as an untangling force,A tangled ball of yarn slowly unraveling as magnifying glass hovers above it.
426,Replacement,Change,343,The replacement acted as a bridge over troubled waters.,Provides stability and connection during difficult times.,"Bridge, Waters, Replacement person","Troubled, turbulent waters; stable bridge; helpful replacement","Bridge spans across dangerous waters, providing safe passage","A human figure forming a bridge with their body over dark, stormy waters while others walk safely across."
427,Motion,Emotion,746,Hope floated like a balloon released into the sky.,Freedom and lightness of spirit rising upward.,"Hope, Balloon","Floating, Light, Ascending",Movement upward into open sky,A bright red balloon with a smiling face soaring upward through fluffy white clouds.
428,Region In A Landscape,Problem,1831,We're climbing the rocky slopes of this problem.,Dealing with a difficult challenge or obstacle.,"People, Rocky slope, Problem","Steep, difficult, challenging terrain",People attempting to ascend/overcome obstacle,Two people climbing a steep mountain made of stacked papers and documents with jagged edges.
429,Containers For Money,Investments,802,These penny stocks are just paper cups holding your money temporarily.,Fragile and disposable investment that will likely spill away money.,"Paper cups, Money","Fragile, temporary, disposable","Cups holding/containing money, likely to spill or break",A torn paper cup with coins and dollar bills spilling out through holes and cracks.
430,Motion,Emotion,742,Sadness crawled through her veins like slow-moving traffic.,"Depression moves sluggishly through the body, weighing down every movement.","Veins, Traffic, Sadness","Slow-moving, Crawling, Heavy",Sadness moving through body like cars in traffic,A transparent human figure with glowing blue veins filled with tiny cars moving slowly in gridlock traffic.
431,Forces,Emotions,1298,"Passion is a nuclear force, releasing tremendous emotional energy.",Intense and explosive emotional power.,"Passion, Nuclear reaction","Explosive, powerful, radiating, intense","Passion is compared to nuclear energy, both release intense force",A glowing human heart erupting with nuclear energy waves and atomic symbols bursting outward.
432,Getting Destroyed,Intoxication,641,His sobriety crumbled like a condemned building.,Loss of control and collapse of willpower.,"Sobriety, condemned building","Crumbling, unstable, falling apart",Person's sobriety is compared to a collapsing structure,A man's silhouette made of crumbling bricks falling apart while holding a bottle.
433,Being In A Harmful Location,Harm,176,She's walking through a storm of negativity.,Struggling against overwhelming negative circumstances.,"Person, Storm","Dark clouds, wind, negative symbols",Person moving through/against hostile environment,A woman walking against dark storm clouds swirling with floating minus signs and frowning faces.
434,Containers,Difficulties,1122,"Some challenges are like Russian nesting dolls, revealing new layers as you progress.","Problems become more complex as you solve them, revealing hidden difficulties.","Russian nesting dolls, Challenges","Layered, Nested, Progressive revelation","Opening/revealing process, Each layer leads to another",A partially opened Russian doll with each inner layer shaped like increasingly complex puzzle pieces.
435,Comparison Of Possessions (non-evaluative),Comparison Of Properties,1329,Their qualities are curated like a museum collection.,Carefully selected and displayed with precision and value.,"Personal qualities, Museum collection","Organized, selective, displayed, valuable",Qualities being treated as precious artifacts in a museum display,A person standing in a glass display case with their attributes labeled on museum plaques.
436,Locations,Ideas,285,The solution lies in an underground cavern of possibilities.,Hidden potential and unexplored opportunities.,"Underground cavern, Solution","Hidden, Deep, Mysterious, Multiple paths",Solution is contained within the cavern's depths,A glowing key floating in a dark cave with multiple branching tunnels radiating outward.
437,Source Of Moving Entity,Necessary Prerequisite For Change,1824,The river of change flows only when its tributaries of preparation converge.,Progress requires multiple preparatory steps coming together.,"River, Tributaries","Flowing, Converging, Movement",Multiple smaller streams (preparations) joining to form a larger river (change),"Multiple labeled streams marked ""preparation"" flowing together into a large river labeled ""change""."
438,Machines,People,1143,His memory files were corrupted.,Mental deterioration or loss of memories.,"Human memory, Computer files","Corrupted, damaged, broken",Memory being compared to digital files that are malfunctioning,A human head with glitching computer files floating out of an open skull.
439,"Touching, Eyes Are Limbs",Seeing,164,Her gaze stroked the delicate flower petals.,Gentle and tender observation with care and affection.,"Gaze, flower petals","Delicate, gentle, soft","Stroking motion, careful observation","A pair of eyes with soft hands extending from them, gently caressing pink flower petals."
440,Cleanliness,Morality,1072,Their business practices were crystal clear.,Transparent and honest business operations.,"Business practices, Crystal","Transparent, Pure, See-through",Business practices being compared to crystal's transparency,A transparent crystal cube containing miniature business documents and handshakes visible from all angles.
441,Forward Motion,Progress Of External Events,1409,The escalator of events carries everything upward and onward.,Progress is inevitable and continuous.,"Escalator, Events","Moving upward, Continuous motion",Events being carried along automatically,Various objects and people riding an endless escalator that spirals into the clouds.
442,Possessions,Beliefs,704,He traded his old beliefs for new ones at the marketplace of ideas.,Exchanging old thoughts for new perspectives through intellectual discourse.,"Beliefs, Marketplace","Old and new beliefs, trading/exchange",Person exchanging/trading beliefs like commodities in a market,A person at a market stall exchanging worn scrolls for shiny new ones with glowing text.
