,source,target,metaphor,literal,contradiction
641,Possessions,Beliefs,His beliefs are locked away in an impenetrable vault.,His beliefs are rigid and protected from external influence or challenge.,His beliefs are open and susceptible to change through discussion and debate.
642,Possessions,Beliefs,She inventoried her beliefs like items in a storage room.,She carefully examined and evaluated each of her beliefs systematically.,"She never questioned or examined her beliefs, letting them accumulate randomly."
643,Possessions,Beliefs,Their beliefs were inherited like family heirlooms.,Their beliefs were passed down through generations without much questioning.,"Their beliefs were independently formed, rejecting all familial influences."
644,Possessions,Beliefs,He traded his old beliefs for new ones at the marketplace of ideas.,He willingly exchanged his existing beliefs for new perspectives through intellectual discourse.,"He stubbornly maintained his beliefs, refusing to consider alternative viewpoints."
645,Possessions,Beliefs,Her beliefs were scattered like loose change.,"Her beliefs were disorganized and inconsistent, lacking a coherent structure.",Her beliefs were well-organized and formed a cohesive philosophical system.
646,Possessions,Beliefs,They displayed their beliefs like trophies on a shelf.,They proudly and openly showcased their beliefs to others.,They kept their beliefs private and rarely shared them with others.
647,Possessions,Beliefs,His beliefs were as disposable as fast fashion.,He frequently changed his beliefs based on current trends without deep commitment.,His beliefs were deeply rooted and remained constant regardless of trends.
648,Possessions,Beliefs,She curated her beliefs like a precious art collection.,She carefully selected and maintained her beliefs with great consideration.,She randomly accumulated beliefs without any careful thought or selection.
649,Possessions,Beliefs,Their beliefs were mortgaged to social acceptance.,They compromised their true beliefs to gain social approval and acceptance.,They maintained their beliefs regardless of social pressure or consequences.
650,Substance Contained In Affecting Causes,Force,The anger bubbling inside him erupted into violent force.,His growing anger transformed into aggressive physical action.,His anger dissipated quietly without any physical manifestation.
651,Substance Contained In Affecting Causes,Force,Her determination flowed through her muscles like liquid steel.,Her strong determination enhanced her physical strength and capabilities.,Her weakness drained away all her physical strength and resolve.
652,Substance Contained In Affecting Causes,Force,The poison of fear paralyzed his forceful actions.,Fear prevented him from taking strong or decisive action.,Courage empowered his actions and made them more effective.
653,Substance Contained In Affecting Causes,Force,Success filled her with an intoxicating power.,Her achievement gave her a strong sense of capability and confidence.,Failure drained her of all confidence and ability.
654,Substance Contained In Affecting Causes,Force,The essence of courage saturated his powerful strike.,His bravery made his attack more forceful and effective.,His cowardice made his attack weak and ineffective.
